"contents","author","category","star_tweet"
"What do you call your world traveler alter-ago? Carmen Sandiego is already taken so we usually go with Stacey McTravel Person. #alias","@AmTourister","travel","x"
"Obviously I am always here for any coat that is Carmen Sandiego-adjacent. At Emporio Armani. #MFW #FW17 https://t.co/Q2KOZWtD7j https://t.co/oQBcSn7rYL","@sdpowell1","style","x"
"Debating on trying to convince my boyfriend to go as a couple costume for Halloween. Carmen San Diego and Where's Waldo.","@NowWriteItOut","waldo","x"
"Anybody else grow up playing where in the world is Carmen San diego in school? I learned so much about geography from that. AND DIVERSITY!","@inspiredofword","edutainment","x"
"@PKhakpour zendaya for the win. Kind of obsessed with @priyankachopra's hot Carmen San Diego trench coat","@saaaranotsarah","style","x"
"@scalzi Wait--I knew there was something suspicious about you. No real person travels as much as you do. You're Carmen Sandiego! Ah-ha!","@gevmage","travel","x"
"I guess a good thing about the terrible weather is getting to wear a great trench coat and a fedora #carmensandiego style","@ClaireeHowson","style","x"
"traveled to 3 boroughs today u could call me carmen sandiego","@honey_dippa","travel","x"
"If this is the art style used in the new Carmen Sandiego Netflix series then count me in! 👍 https://t.co/ChXu64CqW0","@DannyLaShep","pop culture","x"
"@ahencyclopedia I remember learning from a Carmen Sandiego point-and-click about Lief Eriksson, Vinland, and how the days are name after the gods of Valhalla.","@RoscoeTheHorse","edutainment","x"
